Year,Class,Metric,Number of Species
2006,Plants,Endangered,2258
2007,Plants,Endangered,2278
2008,Plants,Endangered,2280
2009,Plants,Endangered,2316
2010,Plants,Endangered,2397
2011,Plants,Endangered,2564
2012,Plants,Endangered,2655
2013,Plants,Endangered,3009
2014,Plants,Endangered,3231
2015,Plants,Endangered,3510
2016,Plants,Endangered,3691
2017,Plants,Endangered,4123
2018,Plants,Endangered,4537
2019,Plants,Endangered,5727
2020,Plants,Endangered,7925
2021,Plants,Endangered,9400
2022,Plants,Endangered,9996
2002,Plants,Total Assessed,"7,150"
2003,Plants,Total Assessed,"9,706"
2004,Plants,Total Assessed,"11,824"
2006,Plants,Total Assessed,"11,901"
2007,Plants,Total Assessed,"12,043"
2008,Plants,Total Assessed,"12,055"
2009,Plants,Total Assessed,"12,151"
2010,Plants,Total Assessed,"12,914"
2011,Plants,Total Assessed,"14,496"
2012,Plants,Total Assessed,"15,674"
2013,Plants,Total Assessed,"18,291"
2014,Plants,Total Assessed,"19,738"
2015,Plants,Total Assessed,"20,755"
2016,Plants,Total Assessed,"22,253"
2017,Plants,Total Assessed,"24,230"
2018,Plants,Total Assessed,"27,514"
2019,Plants,Total Assessed,"38,630"
2020,Plants,Total Assessed,"50,369"
2021,Plants,Total Assessed,"58,343"
2022,Plants,Total Assessed,"61,371"
2002,Plants,Total Threatened,5714
2003,Plants,Total Threatened,6774
2004,Plants,Total Threatened,8321
2006,Plants,Total Threatened,8390
2007,Plants,Total Threatened,8447
2008,Plants,Total Threatened,8457
2009,Plants,Total Threatened,8500
2010,Plants,Total Threatened,8724
2011,Plants,Total Threatened,9156
2012,Plants,Total Threatened,9390
2013,Plants,Total Threatened,10065
2014,Plants,Total Threatened,10584
2015,Plants,Total Threatened,11233
2016,Plants,Total Threatened,11643
2017,Plants,Total Threatened,12505
2018,Plants,Total Threatened,13299
2019,Plants,Total Threatened,15774
2020,Plants,Total Threatened,20360
2021,Plants,Total Threatened,23335
2022,Plants,Total Threatened,24449
2002,Plants,Vulnerable,3377
2003,Plants,Vulnerable,3864
2004,Plants,Vulnerable,4592
2006,Plants,Vulnerable,4591
2007,Plants,Vulnerable,4600
2008,Plants,Vulnerable,4602
2009,Plants,Vulnerable,4607
2010,Plants,Vulnerable,4708
2011,Plants,Vulnerable,4861
2012,Plants,Vulnerable,4914
2013,Plants,Vulnerable,5099
2014,Plants,Vulnerable,5234
2015,Plants,Vulnerable,5376
2016,Plants,Vulnerable,5446
2017,Plants,Vulnerable,5660
2018,Plants,Vulnerable,5883
2019,Plants,Vulnerable,6818
2020,Plants,Vulnerable,8098
2021,Plants,Vulnerable,8959
2022,Plants,Vulnerable,9221
2002,Reptiles,Critically Endangered,55
2003,Reptiles,Critically Endangered,57
2004,Reptiles,Critically Endangered,64
2006,Reptiles,Critically Endangered,73
2007,Reptiles,Critically Endangered,79
2008,Reptiles,Critically Endangered,86
2009,Reptiles,Critically Endangered,93
2010,Reptiles,Critically Endangered,106
2011,Reptiles,Critically Endangered,137
2012,Reptiles,Critically Endangered,144
2013,Reptiles,Critically Endangered,164
2014,Reptiles,Critically Endangered,174
2015,Reptiles,Critically Endangered,180
2016,Reptiles,Critically Endangered,237
2017,Reptiles,Critically Endangered,266
2018,Reptiles,Critically Endangered,287
2019,Reptiles,Critically Endangered,309
2020,Reptiles,Critically Endangered,324
2021,Reptiles,Critically Endangered,433
2022,Reptiles,Critically Endangered,433
2002,Reptiles,Endangered,79
2003,Reptiles,Endangered,78
2004,Reptiles,Endangered,79
2006,Reptiles,Endangered,101
2007,Reptiles,Endangered,139
2008,Reptiles,Endangered,134
2009,Reptiles,Endangered,150
2010,Reptiles,Endangered,200
2011,Reptiles,Endangered,284
2012,Reptiles,Endangered,296
2013,Reptiles,Endangered,329
2014,Reptiles,Endangered,356
2015,Reptiles,Endangered,361
2016,Reptiles,Endangered,421
2017,Reptiles,Endangered,484
2018,Reptiles,Endangered,515
2019,Reptiles,Endangered,565
2020,Reptiles,Endangered,584
2021,Reptiles,Endangered,783
2022,Reptiles,Endangered,787
2002,Reptiles,Total Assessed,453
2003,Reptiles,Total Assessed,473
2004,Reptiles,Total Assessed,499
2006,Reptiles,Total Assessed,664
2007,Reptiles,Total Assessed,"1,385"
2008,Reptiles,Total Assessed,"1,385"
2009,Reptiles,Total Assessed,"1,677"
2010,Reptiles,Total Assessed,"2,806"
2011,Reptiles,Total Assessed,"3,336"
2012,Reptiles,Total Assessed,"3,755"
2013,Reptiles,Total Assessed,"4,204"
2014,Reptiles,Total Assessed,"4,414"
2015,Reptiles,Total Assessed,"4,669"
2016,Reptiles,Total Assessed,"5,338"
2017,Reptiles,Total Assessed,"6,278"
2018,Reptiles,Total Assessed,"7,127"
2019,Reptiles,Total Assessed,"7,829"
2020,Reptiles,Total Assessed,"8,492"
2021,Reptiles,Total Assessed,"10,148"
2022,Reptiles,Total Assessed,"10,150"
2002,Reptiles,Total Threatened,293
2003,Reptiles,Total Threatened,293
2004,Reptiles,Total Threatened,304
2006,Reptiles,Total Threatened,341
2007,Reptiles,Total Threatened,422
2008,Reptiles,Total Threatened,423
2009,Reptiles,Total Threatened,469
2010,Reptiles,Total Threatened,594
2011,Reptiles,Total Threatened,772
2012,Reptiles,Total Threatened,807
2013,Reptiles,Total Threatened,879
2014,Reptiles,Total Threatened,927
2015,Reptiles,Total Threatened,944
2016,Reptiles,Total Threatened,1079
2017,Reptiles,Total Threatened,1215
2018,Reptiles,Total Threatened,1307
2019,Reptiles,Total Threatened,1409
2020,Reptiles,Total Threatened,1449
2021,Reptiles,Total Threatened,1839
2022,Reptiles,Total Threatened,1845
2002,Reptiles,Vulnerable,159
2003,Reptiles,Vulnerable,158
2004,Reptiles,Vulnerable,161
2006,Reptiles,Vulnerable,167
2007,Reptiles,Vulnerable,204
2008,Reptiles,Vulnerable,203
2009,Reptiles,Vulnerable,226
2010,Reptiles,Vulnerable,288
2011,Reptiles,Vulnerable,351
2012,Reptiles,Vulnerable,367
2013,Reptiles,Vulnerable,386
2014,Reptiles,Vulnerable,397
2015,Reptiles,Vulnerable,403
2016,Reptiles,Vulnerable,421
2017,Reptiles,Vulnerable,465
2018,Reptiles,Vulnerable,505
2019,Reptiles,Vulnerable,535
2020,Reptiles,Vulnerable,541
2021,Reptiles,Vulnerable,623
2022,Reptiles,Vulnerable,625
